GivenName,Surname,StreetAddress,City,ZipCode,CCType,CCNumber,CVV2,CCExpires,Birthday
Borbála,Sultisz,Bécsi utca 52.,Gyôr,9027,MasterCard,5380112601271937,759,9/2018,6/29/1935
Juliska,Buday,Veres Pálné u. 82.,Zsadány,5537,MasterCard,5286404333112561,795,11/2017,6/3/1995
Kerecsen,Gál,Síp utca 32.,Kisnémedi,2165,Visa,4929990228765675,283,6/2016,10/23/1978
Roland,Weress,Dózsa György út 66.,Miskolc,3529,Visa,4539615253018342,965,7/2018,10/6/1955
Pázmán,Fábián,Victor Hugo u. 58.,Káld,9673,Visa,4929331439646463,708,2/2019,7/23/1992
Varsàny,Kováts,Nagytétényi út 12.,Baks,6768,MasterCard,5371498399577291,143,4/2016,7/7/1983
Hajnalka,Sári,Hegyalja út 63.,Pallagpuszta,4014,Visa,4556639339275260,756,11/2018,12/8/1932
Szemere,Tot,Árpád fejedelem útja 45.,Budaörs,2040,Visa,4556323912590227,719,5/2018,12/4/1981
Edina,Szûts,Kárpát u. 42.,Pápasalamon,8594,Visa,4929258402600856,534,1/2016,9/8/1979
Elizabet,Markó,Dózsa György út 64.,Miskolc,3526,Visa,4929580631726776,621,1/2015,12/17/1954
Ninacska,Szántó,Síp utca 89.,Mogyoród,2146,MasterCard,5116447668577797,753,5/2018,6/29/1933
Marcsa,Bálint,Hegyalja út 84.,Györgytarló,3954,Visa,4485284273517017,293,12/2017,1/16/1987
Panna,Bence,Munkácsy Mihály út 75.,Héhalom,3041,MasterCard,5536903077858766,006,7/2016,7/15/1984
Flóra,Balog,Dayka Gábor u. 92.,Dávod,6524,MasterCard,5261910967512172,405,3/2015,10/17/1968
Moricz,Lôrinc,Erzsébet tér 55.,Kôszénbányatelep,3341,Visa,4929191136994420,989,9/2016,3/25/1953
Zombor,Wagner,Kárpát u. 60.,Egyházaskeszô,8523,MasterCard,5484632584979235,205,12/2019,9/22/1939
Ompoly,Sultis,Budaörsi út 32.,Hodász,4334,Visa,4556833854121385,685,7/2015,2/1/1992
Broska,Dömötör,Munkácsy Mihály út 64.,Mikebuda,2736,Visa,4929537891752652,225,11/2015,3/28/1953
Csaba,Horvát,Piroska u. 44.,Ózdfalu,7836,MasterCard,5437762866182717,222,6/2018,2/22/1969
Albert,Papp,Kossuth Lajos u. 5.,Dunaszekcsô,7712,Visa,4556964393508178,481,3/2015,9/1/1981
Richárd,Lévay,Nánási út 99.,Pusztaberény,8693,Visa,4916959155431374,779,7/2015,10/17/1944
Domonkos,Salai,Tompa u. 53.,Nádudvar,4181,Visa,4485338249164666,682,12/2018,9/18/1977
Kada,Szôts,Kossuth Lajos u. 50.,Pécsvárad,7720,Visa,4532911919543709,942,7/2017,12/5/1994
Bence,Földy,Munkácsy Mihály út 68.,Jászkarajenô,2746,Visa,4716071246703571,682,12/2017,12/15/1939
Boldizsar,Németh,Apáczai Csere János u. 14.,Bér,3045,MasterCard,5476432689885571,366,3/2015,10/14/1942
Zoltán,Takácz,Csavargyár u. 92.,Kiskutas,8911,MasterCard,5180641747042176,544,3/2015,12/17/1940
Ompoly,Tóth,Kálmán Imre u. 19.,Pacsa,8761,MasterCard,5392271735524938,230,11/2015,3/24/1979
Anci,Komáromi,Izabella u. 44.,Devecser,8460,Visa,4929803761179883,786,7/2019,8/14/1944
Kerecsen,Schmidt,Bem rakpart 10.,Tiszamogyorós,4645,MasterCard,5285251034490726,646,11/2015,5/6/1936
Teca,Fülöp,Dózsa György út 23.,Nyékládháza,3433,MasterCard,5253188912148331,788,5/2018,7/22/1929
Bora,Lovas,Tompa u. 20.,Biharkeresztes,4110,MasterCard,5260008236604903,093,9/2016,11/28/1986
Csenge,Orbán,Kis Diófa u. 76.,Halogy,9917,MasterCard,5589451420053319,770,2/2017,6/26/1958
Ozséb,Danka,Veres Pálné u. 91.,Cserkeszôlô,5465,MasterCard,5278510287804878,570,4/2015,1/3/1995
Ond,Petheö,Király u. 87.,Szentetornya,5905,MasterCard,5267337558912260,834,10/2018,3/14/1946
Tibor,Sultés,Síp utca 97.,Csomád,2161,MasterCard,5184193975632423,604,7/2017,7/20/1934
Rebeka,Magyar,Nagytétényi út 45.,Pitvaros,6914,Visa,4916473200923336,100,6/2019,8/8/1953
Fodor,László,Veres Pálné u. 92.,Medgyesegyháza,5666,Visa,4539685868491952,563,11/2019,2/21/1982
Pázmán,Danko,Piroska u. 62.,Baksa,7834,MasterCard,5199174372040199,906,4/2018,8/5/1989
Ema,Dömötör,Csabai kapu 7.,Budapest,1132,Visa,4556677883028743,666,12/2015,11/20/1928
Juliska,Benedek,Apáczai Csere János u. 90.,Karancslapujtô,3182,MasterCard,5555248837279705,892,5/2019,2/9/1958
Solt,Szôllôsi,Baross tér 46.,Szikszó,3800,MasterCard,5378409577433507,335,5/2016,6/27/1962
Gara,Szöke,Bem rkp. 98.,Tállya,3907,Visa,4485290303136694,725,6/2017,4/13/1986
Fruzsina,Bartha,Piroska u. 54.,Peterd,7766,Visa,4716949241437974,665,10/2016,6/27/1969
Miklós,Tury,Erzsébet tér 18.,Eger,3323,MasterCard,5573005399707186,055,11/2015,12/28/1967
Zágon,Lantos,Árpád fejedelem útja 56.,Budapest,1223,MasterCard,5285621296265554,227,11/2018,4/22/1976
Orzsebet,Mészáros,Nánási út 57.,Vése,8721,Visa,4929387741620794,249,1/2018,9/26/1993
Ozsvát,Bencsik,Árpád fejedelem útja 83.,Budapest,1146,Visa,4532137572380318,042,9/2017,1/24/1945
Olivér,Vöröss,Kárpát u. 66.,Kerta,8492,Visa,4916270130374949,984,12/2015,6/25/1934
Odön,Mejer,Bem rakpart 50.,Nagyar,4922,MasterCard,5329802816938908,068,8/2017,4/29/1975
Vanessza,Dobos,Veres Pálné u. 47.,Nagyiván,5363,Visa,4539594090280342,495,10/2015,7/13/1977
Zétény,Kováts,Izabella u. 20.,Padragkút,8451,Visa,4716237887650831,408,7/2016,2/17/1949
Márk,Végh,Apor Péter u. 49.,Tiszaszentimre,5322,MasterCard,5518019327758474,100,5/2018,7/12/1930
Ivett,Bodo,Teréz krt. 1.,Zichyújfalu,8112,Visa,4539679231720841,089,6/2019,8/27/1993
Georgina,Urbán,Baross tér 60.,Irota,3786,Visa,4929094870681338,837,3/2017,11/26/1930
Anna,Bognár,Baross tér 97.,Alsótelekes,3735,MasterCard,5299286204900983,597,12/2019,8/18/1964
Ozsvát,Orosz,Tas vezér u. 99.,Iregszemcse,7095,MasterCard,5249154434515867,083,2/2015,12/26/1930
Tamás,Dobos,Veres Pálné u. 1.,Pusztaottlaka,5665,Visa,4716409815582499,108,7/2018,6/9/1991
Zádor,Gyarmati,Síp utca 90.,Mogyoród,2146,MasterCard,5156114882218399,212,1/2019,12/2/1964
Varsàny,Wagner,Bem rkp. 94.,Háromhuta,3936,Visa,4716471382505071,178,11/2017,3/2/1943
Ferko,Nemes,Síp utca 60.,Üröm,2096,Visa,4485945568239422,006,1/2015,3/21/1949
Roza,Salamon,Piroska u. 33.,Kisharsány,7800,Visa,4916504408625446,057,11/2018,10/4/1964
Sebes,Schulteisz,Szent Gellért tér 17.,Ózd,3661,MasterCard,5225404767540919,953,2/2015,10/16/1930
Armand,Sánta,Hegyalja út 14.,Karos,3962,Visa,4556435425875943,935,5/2018,7/31/1943
Rikard,Csonka,Erzsébet krt. 10.,Gyúró,2464,MasterCard,5204903069591319,409,11/2015,7/24/1946
Kamilla,Györfy,Síp utca 63.,Göd,2131,MasterCard,5168795453126866,675,3/2018,7/2/1973
Zajzon,Pataki,Apor Péter u. 27.,Berekfürdôtelep,5309,MasterCard,5242579298043720,282,2/2017,9/23/1968
Zsuzsi,Pálffy,Kossuth Lajos u. 92.,Aranyosgadány,7671,MasterCard,5279585867544101,586,4/2015,6/13/1982
Kristof,Kuntz,Bem rakpart 97.,Szamoskér,4721,Visa,4556956225475501,687,10/2018,11/23/1990
Luca,Hegedüs,Dayka Gábor u. 25.,Hercegszántó,6525,MasterCard,5302656343502756,839,6/2018,3/2/1942
Mara,Szepesy,Bem rakpart 94.,Gyôröcske,4625,MasterCard,5137208925749339,217,3/2018,12/25/1971
Keled,Simon,Teréz krt. 15.,Tótszentgyörgy,7981,Visa,4539686381009412,075,6/2018,2/2/1994
Ladomér,Seres,Csabai kapu 33.,Budapest,1131,MasterCard,5147185499564278,698,5/2018,10/10/1964
Mátyás,Gerencsér,Szent Gellért tér 74.,Ragály,3724,MasterCard,5390328137086072,172,7/2015,6/9/1936
Nikolett,Gáspár,Munkácsy Mihály út 35.,Ács,2941,Visa,4485966018402469,284,2/2016,5/9/1982
Anci,Bernáth,Csavargyár u. 6.,Gyénkényes,8851,Visa,4556504942926099,801,6/2015,2/20/1984
Huba,Mezey,Tompa u. 88.,Kismarja,4126,MasterCard,5170186958311821,581,4/2019,10/4/1966
Andor,Weress,Szent Gellért tér 32.,Borsodnádasd,3672,MasterCard,5235577950026016,558,10/2017,9/15/1951
Radomér,Váradi,Nánási út 22.,Ádánd,8653,MasterCard,5301930038700798,586,8/2018,10/5/1971
Szabina,Török,Apáczai Csere János u. 24.,Nógrádsipek,3179,MasterCard,5474574119675999,783,6/2019,10/18/1986
Laborc,Barna,Agip u. 90.,Somogyviszló,7922,Visa,4485512036904845,252,3/2015,1/13/1972
Enikõ,Molnár,Árpád fejedelem útja 48.,Budapest,1193,MasterCard,5210637310160670,481,9/2017,5/15/1931
Péter,Pataky,Erzsébet tér 86.,Mezôtárkány,3375,MasterCard,5363344066479413,935,8/2015,11/10/1962
Krisztina,Borbás,Eötvös út 23.,Homokszentgyörgy,7537,Visa,4916635965911041,736,4/2017,9/15/1990
Robi,Havasy,Bem rkp. 4.,Méra,3871,MasterCard,5460381117191854,117,6/2016,11/10/1968
Gréta,Kultsár,Budaörsi út 28.,Tiszavasvári,4440,Visa,4485784024310380,728,2/2015,6/12/1947
Kitti,Komáromi,Csavargyár u. 25.,Zajk,8868,Visa,4556167033553477,810,5/2017,9/28/1968
Peterke,Orosz,Nyár utca 12.,Bácsa,9010,MasterCard,5513971555244285,398,1/2018,1/9/1981
Borsala,Smitt,Nyár utca 54.,Csesztreg,8973,Visa,4539727354984700,018,11/2016,8/5/1956
Vanda,Sebeôk,Apáczai Csere János u. 1.,Karancsberény,3137,Visa,4556964306758480,939,5/2019,10/30/1932
Boglárka,Lovász,Agip u. 5.,Márkóc,7967,MasterCard,5472996900491207,942,9/2017,1/18/1950
Tarcal,Polak,Apor Péter u. 78.,Vámosatya,4936,MasterCard,5484003499004909,650,2/2015,1/23/1993
